"Step","17/04/2025_22:06:37_elie-48n-1704-part1_tp_group_0 - lm_loss","17/04/2025_22:06:37_elie-48n-1704-part1_tp_group_0 - lm_loss__MIN","17/04/2025_22:06:37_elie-48n-1704-part1_tp_group_0 - lm_loss__MAX"
"4","12.171820640563965","12.171820640563965","12.171820640563965"
"52","9.457798957824707","9.457798957824707","9.457798957824707"
"72","8.91900634765625","8.91900634765625","8.91900634765625"
"82","8.75847339630127","8.75847339630127","8.75847339630127"
"84","8.731083869934082","8.731083869934082","8.731083869934082"
"113","8.189472198486328","8.189472198486328","8.189472198486328"
"147","7.592343330383301","7.592343330383301","7.592343330383301"
"159","7.409669399261475","7.409669399261475","7.409669399261475"
"197","6.974511623382568","6.974511623382568","6.974511623382568"
"202","6.8925347328186035","6.8925347328186035","6.8925347328186035"
"207","6.822804927825928","6.822804927825928","6.822804927825928"
"217","6.781449794769287","6.781449794769287","6.781449794769287"
"222","6.711743354797363","6.711743354797363","6.711743354797363"
"231","6.616729259490967","6.616729259490967","6.616729259490967"
"275","6.276529788970947","6.276529788970947","6.276529788970947"
"288","6.130746364593506","6.130746364593506","6.130746364593506"
"290","6.16253662109375","6.16253662109375","6.16253662109375"
"298","6.127402305603027","6.127402305603027","6.127402305603027"
"334","5.906030178070068","5.906030178070068","5.906030178070068"
"340","5.83705472946167","5.83705472946167","5.83705472946167"
"359","5.7510528564453125","5.7510528564453125","5.7510528564453125"
"360","5.744856834411621","5.744856834411621","5.744856834411621"
"364","5.665066242218018","5.665066242218018","5.665066242218018"
"373","5.650758266448975","5.650758266448975","5.650758266448975"
"381","5.6156415939331055","5.6156415939331055","5.6156415939331055"
"442","5.345056533813477","5.345056533813477","5.345056533813477"
"445","5.334991931915283","5.334991931915283","5.334991931915283"
"447","5.306874752044678","5.306874752044678","5.306874752044678"
"452","5.336980819702148","5.336980819702148","5.336980819702148"
"481","5.214986801147461","5.214986801147461","5.214986801147461"
"488","5.149051189422607","5.149051189422607","5.149051189422607"
"504","5.123342037200928","5.123342037200928","5.123342037200928"
"510","5.075133323669434","5.075133323669434","5.075133323669434"
"517","5.048938751220703","5.048938751220703","5.048938751220703"
"538","4.974272727966309","4.974272727966309","4.974272727966309"
"542","4.967430591583252","4.967430591583252","4.967430591583252"
"543","4.965609073638916","4.965609073638916","4.965609073638916"
"588","4.822864055633545","4.822864055633545","4.822864055633545"
"589","4.769199371337891","4.769199371337891","4.769199371337891"
"590","4.7954020500183105","4.7954020500183105","4.7954020500183105"
"602","4.750580310821533","4.750580310821533","4.750580310821533"
"618","4.672049522399902","4.672049522399902","4.672049522399902"
"626","4.659937858581543","4.659937858581543","4.659937858581543"
"656","4.570553302764893","4.570553302764893","4.570553302764893"
"672","4.453887462615967","4.453887462615967","4.453887462615967"
"679","4.466172695159912","4.466172695159912","4.466172695159912"
"689","4.4281768798828125","4.4281768798828125","4.4281768798828125"
"694","4.392993450164795","4.392993450164795","4.392993450164795"
"752","4.1892499923706055","4.1892499923706055","4.1892499923706055"
"757","4.162229537963867","4.162229537963867","4.162229537963867"
"790","4.089906215667725","4.089906215667725","4.089906215667725"
"824","3.997765302658081","3.997765302658081","3.997765302658081"
"855","3.912900447845459","3.912900447845459","3.912900447845459"
"913","3.8361761569976807","3.8361761569976807","3.8361761569976807"
"923","3.8055531978607178","3.8055531978607178","3.8055531978607178"
"935","3.8345816135406494","3.8345816135406494","3.8345816135406494"
"962","3.7495691776275635","3.7495691776275635","3.7495691776275635"
"1001","3.700998306274414","3.700998306274414","3.700998306274414"
"1073","3.596670627593994","3.596670627593994","3.596670627593994"
"1101","3.590669631958008","3.590669631958008","3.590669631958008"
"1132","3.5792691707611084","3.5792691707611084","3.5792691707611084"
"1164","3.568087339401245","3.568087339401245","3.568087339401245"
"1180","3.525460720062256","3.525460720062256","3.525460720062256"
"1186","3.520113706588745","3.520113706588745","3.520113706588745"
"1196","3.5265111923217773","3.5265111923217773","3.5265111923217773"
"1222","3.521390676498413","3.521390676498413","3.521390676498413"
"1232","3.4532511234283447","3.4532511234283447","3.4532511234283447"
"1291","3.4623210430145264","3.4623210430145264","3.4623210430145264"
"1301","3.439362049102783","3.439362049102783","3.439362049102783"
"1326","3.4061992168426514","3.4061992168426514","3.4061992168426514"
"1359","3.403721332550049","3.403721332550049","3.403721332550049"
"1360","3.4158542156219482","3.4158542156219482","3.4158542156219482"
"1418","3.3326187133789062","3.3326187133789062","3.3326187133789062"
"1420","3.3242883682250977","3.3242883682250977","3.3242883682250977"
"1433","3.398183822631836","3.398183822631836","3.398183822631836"
"1453","3.340738534927368","3.340738534927368","3.340738534927368"
"1454","3.32820463180542","3.32820463180542","3.32820463180542"
"1472","3.3367536067962646","3.3367536067962646","3.3367536067962646"
"1474","3.349965810775757","3.349965810775757","3.349965810775757"
"1521","3.281369686126709","3.281369686126709","3.281369686126709"
"1525","3.299318790435791","3.299318790435791","3.299318790435791"
"1560","3.3058857917785645","3.3058857917785645","3.3058857917785645"
"1580","3.3061091899871826","3.3061091899871826","3.3061091899871826"
"1599","3.2633907794952393","3.2633907794952393","3.2633907794952393"
"1602","3.257364273071289","3.257364273071289","3.257364273071289"
"1627","3.2478461265563965","3.2478461265563965","3.2478461265563965"
"1638","3.2702395915985107","3.2702395915985107","3.2702395915985107"
"1643","3.2455012798309326","3.2455012798309326","3.2455012798309326"
"1649","3.2336974143981934","3.2336974143981934","3.2336974143981934"
"1653","3.2183616161346436","3.2183616161346436","3.2183616161346436"
"1684","3.2312889099121094","3.2312889099121094","3.2312889099121094"
"1703","3.211472272872925","3.211472272872925","3.211472272872925"
"1727","3.2546193599700928","3.2546193599700928","3.2546193599700928"
"1748","3.220585346221924","3.220585346221924","3.220585346221924"
"1765","3.2044711112976074","3.2044711112976074","3.2044711112976074"
"1785","3.2068440914154053","3.2068440914154053","3.2068440914154053"
"1798","3.175238609313965","3.175238609313965","3.175238609313965"
"1807","3.193857431411743","3.193857431411743","3.193857431411743"
"1823","3.1747353076934814","3.1747353076934814","3.1747353076934814"
"1829","3.199955701828003","3.199955701828003","3.199955701828003"
"1836","3.1373913288116455","3.1373913288116455","3.1373913288116455"
"1849","3.190943717956543","3.190943717956543","3.190943717956543"
"1858","3.1814444065093994","3.1814444065093994","3.1814444065093994"
"1868","3.1657161712646484","3.1657161712646484","3.1657161712646484"
"1881","3.1617021560668945","3.1617021560668945","3.1617021560668945"
"1956","3.1391983032226562","3.1391983032226562","3.1391983032226562"
"1969","3.136629581451416","3.136629581451416","3.136629581451416"
"1976","3.1473770141601562","3.1473770141601562","3.1473770141601562"
"2000","3.149711847305298","3.149711847305298","3.149711847305298"
"2023","3.1225645542144775","3.1225645542144775","3.1225645542144775"
"2028","3.112644672393799","3.112644672393799","3.112644672393799"
"2033","3.125694513320923","3.125694513320923","3.125694513320923"
"2041","3.1171135902404785","3.1171135902404785","3.1171135902404785"
"2043","3.1275131702423096","3.1275131702423096","3.1275131702423096"
"2046","3.130049467086792","3.130049467086792","3.130049467086792"
"2055","3.1033132076263428","3.1033132076263428","3.1033132076263428"
"2070","3.115440607070923","3.115440607070923","3.115440607070923"
"2102","3.1294124126434326","3.1294124126434326","3.1294124126434326"
"2133","3.1188290119171143","3.1188290119171143","3.1188290119171143"
"2139","3.121654510498047","3.121654510498047","3.121654510498047"
"2179","3.0810599327087402","3.0810599327087402","3.0810599327087402"
"2194","3.067056894302368","3.067056894302368","3.067056894302368"
"2202","3.0996930599212646","3.0996930599212646","3.0996930599212646"
"2220","3.1072466373443604","3.1072466373443604","3.1072466373443604"
"2222","3.069110155105591","3.069110155105591","3.069110155105591"
"2228","3.0615413188934326","3.0615413188934326","3.0615413188934326"
"2235","3.071681499481201","3.071681499481201","3.071681499481201"
"2243","3.0578908920288086","3.0578908920288086","3.0578908920288086"
"2266","3.04670786857605","3.04670786857605","3.04670786857605"
"2273","3.069593906402588","3.069593906402588","3.069593906402588"
"2280","3.0480854511260986","3.0480854511260986","3.0480854511260986"
"2283","3.074838161468506","3.074838161468506","3.074838161468506"
"2286","3.0490992069244385","3.0490992069244385","3.0490992069244385"
"2291","3.0419681072235107","3.0419681072235107","3.0419681072235107"
"2313","3.0346620082855225","3.0346620082855225","3.0346620082855225"
"2317","3.0486645698547363","3.0486645698547363","3.0486645698547363"
"2318","3.0687673091888428","3.0687673091888428","3.0687673091888428"
"2326","3.0521416664123535","3.0521416664123535","3.0521416664123535"
"2327","2.9992587566375732","2.9992587566375732","2.9992587566375732"
"2333","3.068824291229248","3.068824291229248","3.068824291229248"
"2337","3.0332205295562744","3.0332205295562744","3.0332205295562744"
"2355","3.0161707401275635","3.0161707401275635","3.0161707401275635"
"2379","3.0296356678009033","3.0296356678009033","3.0296356678009033"
"2389","3.0093834400177","3.0093834400177","3.0093834400177"
"2399","3.0194342136383057","3.0194342136383057","3.0194342136383057"
"2414","2.9944283962249756","2.9944283962249756","2.9944283962249756"
"2443","3.0120272636413574","3.0120272636413574","3.0120272636413574"
"2451","3.000919818878174","3.000919818878174","3.000919818878174"
"2452","3.0022339820861816","3.0022339820861816","3.0022339820861816"
"2509","3.013946294784546","3.013946294784546","3.013946294784546"
"2552","2.98942232131958","2.98942232131958","2.98942232131958"
"2561","2.9691452980041504","2.9691452980041504","2.9691452980041504"
"2572","3.0044496059417725","3.0044496059417725","3.0044496059417725"
"2589","2.970424175262451","2.970424175262451","2.970424175262451"
"2593","2.980436086654663","2.980436086654663","2.980436086654663"
"2598","2.9710748195648193","2.9710748195648193","2.9710748195648193"
"2600","2.96728777885437","2.96728777885437","2.96728777885437"
"2609","2.9860308170318604","2.9860308170318604","2.9860308170318604"
"2622","2.968111515045166","2.968111515045166","2.968111515045166"
"2625","2.936711072921753","2.936711072921753","2.936711072921753"
"2646","2.939657688140869","2.939657688140869","2.939657688140869"
"2671","2.9925684928894043","2.9925684928894043","2.9925684928894043"
"2689","2.932645320892334","2.932645320892334","2.932645320892334"
"2699","2.9536075592041016","2.9536075592041016","2.9536075592041016"
"2701","2.9542109966278076","2.9542109966278076","2.9542109966278076"
"2729","2.954514741897583","2.954514741897583","2.954514741897583"
"2734","2.936811685562134","2.936811685562134","2.936811685562134"
"2753","2.9588494300842285","2.9588494300842285","2.9588494300842285"
"2778","2.9403021335601807","2.9403021335601807","2.9403021335601807"
"2799","2.94879412651062","2.94879412651062","2.94879412651062"
"2814","2.9450604915618896","2.9450604915618896","2.9450604915618896"
"2822","2.9322381019592285","2.9322381019592285","2.9322381019592285"
"2840","2.9411051273345947","2.9411051273345947","2.9411051273345947"
"2846","2.935175657272339","2.935175657272339","2.935175657272339"
"2887","2.9022374153137207","2.9022374153137207","2.9022374153137207"
"2894","2.9036507606506348","2.9036507606506348","2.9036507606506348"
"2915","2.8998217582702637","2.8998217582702637","2.8998217582702637"
"2916","2.9362332820892334","2.9362332820892334","2.9362332820892334"
"2918","2.884539842605591","2.884539842605591","2.884539842605591"
"3026","2.9009835720062256","2.9009835720062256","2.9009835720062256"
"3032","2.8695061206817627","2.8695061206817627","2.8695061206817627"
"3052","2.896378755569458","2.896378755569458","2.896378755569458"
"3056","2.8976809978485107","2.8976809978485107","2.8976809978485107"
"3059","2.894643545150757","2.894643545150757","2.894643545150757"
"3067","2.900580406188965","2.900580406188965","2.900580406188965"
"3102","2.8598296642303467","2.8598296642303467","2.8598296642303467"
"3121","2.904407501220703","2.904407501220703","2.904407501220703"
"3123","2.886476993560791","2.886476993560791","2.886476993560791"
"3135","2.870742082595825","2.870742082595825","2.870742082595825"
"3144","2.873142719268799","2.873142719268799","2.873142719268799"
"3148","2.8717875480651855","2.8717875480651855","2.8717875480651855"
"3165","2.891817569732666","2.891817569732666","2.891817569732666"
"3175","2.8447060585021973","2.8447060585021973","2.8447060585021973"
"3184","2.8918616771698","2.8918616771698","2.8918616771698"
"3232","2.8597412109375","2.8597412109375","2.8597412109375"
"3314","2.843287467956543","2.843287467956543","2.843287467956543"
"3394","2.838452100753784","2.838452100753784","2.838452100753784"
"3402","2.844125509262085","2.844125509262085","2.844125509262085"
"3416","2.854393243789673","2.854393243789673","2.854393243789673"
"3417","2.8191139698028564","2.8191139698028564","2.8191139698028564"
"3437","2.842867851257324","2.842867851257324","2.842867851257324"
"3493","2.8536107540130615","2.8536107540130615","2.8536107540130615"
"3507","2.84220027923584","2.84220027923584","2.84220027923584"
"3544","2.846564769744873","2.846564769744873","2.846564769744873"
"3597","2.814239263534546","2.814239263534546","2.814239263534546"
"3625","2.8376684188842773","2.8376684188842773","2.8376684188842773"
"3631","2.7959868907928467","2.7959868907928467","2.7959868907928467"
"3638","2.83585786819458","2.83585786819458","2.83585786819458"
"3664","2.8047256469726562","2.8047256469726562","2.8047256469726562"
"3778","2.8071863651275635","2.8071863651275635","2.8071863651275635"
"3799","2.7949514389038086","2.7949514389038086","2.7949514389038086"
"3807","2.808274984359741","2.808274984359741","2.808274984359741"
"3811","2.813796043395996","2.813796043395996","2.813796043395996"
